100,99,16700,198,33900,297,50200,396,67600,495,83500,594,101000,693,110700,792,118400,891,125400,990,132600,1089,139900,1188,147700,1287,154000,1386,161700,1485,174000,1584,180900,1683,187600,1782,197400,1881,204700,1980,347400,2079,354800,2178,362500,2277,369700,2376,376700,2475,384000,2574,390700,2673,398300,2772,406000,2871,413000,2970,419500,3069,426200,3168,433200,3267,440000,3366,446400,3465,453200,3564,459600,3663,466500,3762,473600,3861,480800,3960,488000,4059,495200,4158,502400,4257,509200,4356,516200,4455,532900,4554,540700,4653,547700,4752,554300,4851,562100,4950,568700
200,199,15400,398,29900,597,44500,796,62600,995,76700,1194,90900,1393,105900,1592,120100,1791,134500,1990,149100,2189,163300,2388,177500,2587,192500,2786,206600,2985,221300,3184,235500,3383,249800,3582,264200,3781,278500,3980,292900,4179,307500,4378,322100,4577,336700,4776,350300,4975,364600,5174,379100,5373,393100,5572,407200,5771,421700,5970,436000,6169,450600,6368,464900,6567,479200,6766,493600,6965,508400,7164,522800,7363,536900,7562,550700,7761,564400,7960,578800,8159,590500,8358,602200,8557,613800,8756,625400,8955,637000,9154,648700,9353,668700,9552,682900,9751,694500,9950,706100
300,299,19500,598,39300,897,59300,1196,76200,1495,93100,1794,109900,2093,126800,2392,143600,2691,160500,2990,177400,3289,194300,3588,211100,3887,228000,4186,244900,4485,261800,4784,278700,5083,295600,5382,312500,5681,329400,5980,346300,6279,363100,6578,380000,6877,396800,7176,416000,7475,432900,7774,449800,8073,466600,8372,483500,8671,503000,8970,519900,9269,536700,9568,553600,9867,570400,10166,587300,10465,604200,10764,621100,11063,640900,11362,660800,11661,680700,11960,700700,12259,720600,12558,740600,12857,760500,13156,780700,13455,800900,13754,820700,14053,840600,14352,860600,14651,880400,14950,900100
400,399,22900,798,45700,1197,68400,1596,93800,1995,119700,2394,151900,2793,178300,3192,205100,3591,235000,3990,260500,4389,286900,4788,313800,5187,340400,5586,368600,5985,394500,6384,565300,6783,592200,7182,617500,7581,643100,7980,669100,8379,697300,8778,722700,9177,749500,9576,777600,9975,806800,10374,832500,10773,864600,11172,902800,11571,931600,11970,959600,12369,986200,12768,1012900,13167,1039800,13566,1069000,13965,1095400,14364,1122000,14763,1148700,15162,1441200,15561,1471300,15960,1497700,16359,1523500,16758,1550000,17157,1596400,17556,1656400,17955,1681200,18354,1707600,18753,1732800,19152,1757500,19551,1784600,19950,1810400
500,499,37200,998,75900,1497,112700,1996,148100,2495,203800,2994,254700,3493,315400,3992,357300,4491,394300,4990,437000,5489,474000,5988,509400,6487,573200,6986,624800,7485,670900,7984,704200,8483,737900,8982,770300,9481,803700,9980,838000,10479,871400,10978,907100,11477,940100,11976,996300,12475,1029500,12974,1062000,13473,1094800,13972,1151500,14471,1184600,14970,1244600,15469,1277300,15968,1337300,16467,1371200,16966,1402600,17465,1462900,17964,1522900,18463,1571200,18962,1633700,19461,1694200,19960,1752800,20459,1812800,20958,1873400,21457,1933900,21956,1981000,22455,2028200,22954,2060200,23453,2092700,23952,2132500,24451,2165700,24950,2198600
600,599,39100,1198,73000,1797,106900,2396,147000,2995,187400,3594,228500,4193,270600,4792,310800,5391,350700,5990,391000,6589,431000,7188,470500,7787,510500,8386,550600,8985,589400,9584,651200,10183,691500,10782,734800,11381,774800,11980,814900,12579,854800,13178,895100,13777,934900,14376,972700,14975,1012000,15574,1051100,16173,1090800,16772,1131600,17371,1171700,17970,1211500,18569,1251300,19168,1291200,19767,1331300,20366,1371300,20965,1411200,21564,1450800,22163,1491700,22762,1525900,23361,1564900,23960,1603800,24559,1641700,25158,1680800,25757,1719000,26356,1757300,26955,1796100,27554,1833900,28153,1873500,28752,1910300,29351,1949900,29950,1986600
700,699,47600,1398,93300,2097,133200,2796,173000,3495,227000,4194,273800,4893,354400,5592,394200,6291,437200,6990,483600,7689,527300,8388,575000,9087,619000,9786,658600,10485,698900,11184,746000,11883,793100,12582,839100,13281,885300,13980,931400,14679,978100,15378,1061900,16077,1109500,16776,1149100,17475,1188600,18174,1228100,18873,1273300,19572,1322200,20271,1368400,20970,1407900,21669,1459600,22368,1510900,23067,1557100,23766,1596600,24465,1636100,25164,1675600,25863,1723000,26562,2111600,27261,2159800,27960,2305300,28659,2353800,29358,2447500,30057,2618400,30756,2662500,31455,2705900,32154,2751500,32853,2817900,33552,2857500,34251,2896900,34950,2936500
800,799,45300,1598,90400,2397,135500,3196,180600,3995,233600,4794,285700,5593,339400,6392,392800,7191,445400,7990,499300,8789,561900,9588,616100,10387,667400,11186,722600,11985,771800,12784,817000,13583,866200,14382,911300,15181,956600,15980,1001800,16779,1050900,17578,1096100,18377,1145200,19176,1194500,19975,1247300,20774,1292800,21573,1341800,22372,1390800,23171,1440100,23970,1485500,24769,1530600,25568,1584000,26367,1629400,27166,1683600,27965,1740000,28764,1792800,29563,1847600,30362,1900300,31161,1971800,31960,2030300,32759,2132200,33558,2187600,34357,2232900,35156,2282200,35955,2327700,36754,2373100,37553,2418400,38352,2463500,39151,2508600,39950,2553700
900,899,51600,1798,102400,2697,153100,3596,203800,4495,254500,5394,305500,6293,356300,7192,407000,8091,457800,8990,508600,9889,559400,10788,610100,11687,670700,12586,818500,13485,869400,14384,920100,15283,970800,16182,1021500,17081,1072200,17980,1123000,18879,1173800,19778,1224600,20677,1275400,21576,1326100,22475,1376800,23374,1427600,24273,1478300,25172,1529000,26071,1579800,26970,1635100,27869,1690200,28768,1745400,29667,1800600,30566,1855800,31465,1911000,32364,1966200,33263,2021400,34162,2076500,35061,2131600,35960,2182300,36859,2233300,37758,2292400,38657,2347600,39556,2404000,40455,2459200,41354,2514300,42253,2569500,43152,2624600,44051,2679800,44950,2730600
1000,999,69200,1998,126800,2997,183300,3996,250800,4995,322500,5994,395900,6993,467200,7992,528700,8991,585100,9990,652000,10989,767400,11988,825000,12987,932400,13986,1001800,14985,1059400,15984,1129200,16983,1200500,17982,1269400,18981,1326300,19980,1389100,20979,1445700,21978,1524900,22977,1599600,23976,1656700,24975,1713700,25974,1770200,26973,1840600,27972,1897100,28971,1953900,29970,2010600,30969,2067200,31968,2140700,32967,2202500,33966,2267500,34965,2324600,35964,2381000,36963,2460300,37962,2571900,38961,3559900,39960,3673200,40959,3758300,41958,3833400,42957,3895100,43956,3952200,44955,4019600,45954,4335400,46953,4392600,47952,4449400,48951,4509200,49950,4570900
